id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,year,month,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,price_per_sqft,total_sqft,age,is_renovated
7129300520,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,2014,10,1180,0,1955,0,47.5112,-122.257,188.05084745762713,6830,59,0
6414100192,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2014,12,2170,400,1951,1991,47.721,-122.319,209.3385214007782,9812,63,1
5631500400,180000.0,2,1.0,770,10000,1.0,0,0,3,6,2015,2,770,0,1933,0,47.7379,-122.233,233.76623376623377,10770,82,0
2487200875,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,2014,12,1050,910,1965,0,47.5208,-122.393,308.16326530612247,6960,49,0
1954400510,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,2015,2,1680,0,1987,0,47.6168,-122.045,303.57142857142856,9760,28,0
1321400060,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,2014,6,1715,0,1995,0,47.3097,-122.327,150.14577259475217,8534,19,0
2008000270,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,2015,1,1060,0,1963,0,47.4095,-122.315,275.3301886792453,10771,52,0
2414600126,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,2015,4,1050,730,1960,0,47.5123,-122.337,128.93258426966293,9250,55,0
3793500160,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,2015,3,1890,0,2003,0,47.3684,-122.031,170.8994708994709,8450,12,0
1736800520,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,2015,4,1860,1700,1965,0,47.6007,-122.145,186.09550561797752,13356,50,0
9212900260,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,2014,5,860,300,1942,0,47.69,-122.292,403.44827586206895,7160,72,0
114101516,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,2014,5,1430,0,1927,0,47.7558,-122.229,216.78321678321677,21331,87,0
6054650070,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,2014,10,1370,0,1977,0,47.6127,-122.045,291.97080291970804,11050,37,0
1175000570,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,2015,3,1810,0,1900,0,47.67,-122.394,292.81767955801104,6660,115,0
